username,firstName,lastName,email,password,phone
johndoe,John,Doe,john.doe@example.com,Password123,555-123-4567
janed77oe,Jane,Doe,jane.d@email.net,SecurePass,555-987-6543
peter789pan,Peter,Pan,peter.p@fantasia.org,Neverland!,555-246-8013
aliceinwonderland,Alice,Wonderland,alice.w@dreamland.com,RabbitHole,555-135-7924
bobb55builder,Bob,Builder,bob.b@canbuild.co.uk,HammerTime,555-369-1470
evegreen,Eve,Green,eve.g@garden.com,GreenThumb,555-789-0123
charlesdickens,Charles,Dickens,charles.d@storyville.net,GreatExpectations,555-432-1905
marypoppins,Mary,Poppins,mary.p@practicallyperfect.org,Supercalifragilistic,555-864-2097
willywonka,Willy,Wonka,willy.w@chocolatefactory.com,GoldenTicket,555-210-9876
elsaice,Elsa,Ice,elsa.i@arendelle.gov,LetItGo,555-555-5555
